cle,Respondent_ID,weight,A9_1_slice,A9_2_slice,A9_3_slice,A9_4_slice,A9_5_slice,A9_6_slice,A9_7_slice,A9_8_slice,A9_9_slice,A9_10_slice,A9_11_slice,A9_12_slice,A9_13_slice,A9_14_slice,A9_15_slice,A9_16_slice,A10_1_slice,A10_2_slice,A10_3_slice,A10_4_slice,A10_5_slice,A10_6_slice,A10_7_slice,A10_8_slice,A11_1_slice,A11_2_slice,A11_3_slice,A11_4_slice,A11_5_slice,A11_6_slice,A11_7_slice,A11_8_slice,A11_9_slice,A11_10_slice,A11_11_slice,A11_12_slice,A11_13_slice,cluster
2605,MET20_574782,0.837901566,2,3,2,2,3,1,3,1,2,1,1,2,4,1,2,2,2,2,2,1,1,3,2,3,2,2,2,2,1,3,2,2,2,2,2,1,2,0
2606,MET20_1799927,1.2999282972,2,4,3,3,3,3,1,1,2,3,2,2,3,2,2,2,1,1,2,2,1,4,2,1,2,3,1,1,2,2,1,1,2,1,3,2,1,0
2607,MET20_743403,0.9965400009,1,1,1,1,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2608,MET20_548371,0.9965400009,2,2,3,3,2,2,3,2,1,2,1,3,4,1,3,3,2,3,3,2,1,3,2,3,3,3,1,3,1,2,3,2,3,2,3,2,2,0
2609,MET20_7002334,0.4572221819,4,4,4,4,2,3,1,3,1,2,2,4,4,1,3,1,1,2,4,2,2,4,4,1,2,3,2,2,2,2,2,3,2,3,2,2,2,1
2610,MET20_1048078,1.0946952712,2,2,2,2,3,2,3,3,3,2,2,3,3,3,2,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,3,0
2611,MET20_444448,0.8247615439,3,4,4,4,2,2,3,3,2,3,3,3,4,3,4,4,2,2,2,3,2,2,3,3,2,3,3,3,3,2,2,3,3,2,2,3,3,1
2612,MET20_1097547,2.1392931852,2,3,2,2,4,3,3,2,2,2,2,3,3,2,2,2,2,1,2,2,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,0
2613,MET20_7003747,1.1435070883,3,3,3,3,4,3,4,2,3,3,2,2,3,3,4,3,1,1,2,2,2,3,2,3,2,2,2,3,1,2,1,2,2,2,2,2,1,0
2614,MET20_7006215,1.0076397374,1,2,2,1,3,1,1,1,1,2,1,3,1,1,2,3,1,1,3,3,1,3,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,3
2615,MET20_1390321,0.7058317983,3,3,3,3,3,2,1,3,2,3,2,3,4,2,3,2,2,2,2,2,1,4,2,1,1,2,2,2,2,2,2,3,3,1,2,2,2,0
2616,MET20_7006178,0.9617576466,2,2,3,3,4,3,3,3,2,3,2,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1
2617,MET20_7005403,0.464506602,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2618,MET20_391673,1.012416781,1,4,3,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,0
2619,MET20_1180632,1.012416781,3,3,3,3,3,2,1,3,2,3,2,3,4,2,3,3,2,2,3,2,2,3,3,2,2,1,1,3,2,1,1,2,2,1,2,2,1,0
2620,MET20_1040836,0.837901566,1,1,1,1,2,1,3,1,2,1,1,2,1,2,1,2,2,1,2,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2621,MET20_1098966,2.5012547902,2,2,2,2,3,3,2,2,2,2,1,3,3,2,2,3,2,2,3,2,2,3,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,0
2622,MET20_7000711,0.5345827213,1,3,3,2,1,1,1,2,1,2,1,2,2,1,1,2,1,1,3,1,1,3,1,2,2,1,1,3,1,3,1,1,2,2,1,1,1,3
2623,MET20_138547,0.837901566,1,3,3,3,2,2,1,2,1,2,2,3,4,2,2,3,2,3,3,2,1,1,2,2,2,2,1,2,1,3,2,2,2,2,3,2,1,0
2624,MET20_7003803,0.8422381464,2,3,4,4,2,2,4,4,2,4,4,4,4,4,3,2,2,2,4,2,2,2,3,2,2,3,2,4,2,4,2,3,2,2,3,2,4,1
2625,MET20_7010646,0.8528399828,3,4,4,3,3,3,3,3,4,3,3,3,4,2,4,3,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1
2626,MET20_631905,0.8247615439,2,3,3,3,2,3,2,3,2,3,2,3,4,2,2,1,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2627,MET20_27657,1.012416781,2,3,3,2,3,2,4,2,2,3,2,3,2,2,3,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,0
2628,MET20_1231526,0.8247615439,2,3,3,4,3,2,3,2,2,2,1,3,4,3,2,4,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,1
2629,MET20_1082472,1.179990801,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,1,4,2,3,2,1,2,1,1,2,1,1,2,2,2,1,2,0
2630,MET20_1234678,1.3948718613,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,3,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
2631,MET20_462038,0.9612750925,2,3,4,3,2,2,3,2,3,3,1,3,3,2,2,3,3,2,3,2,2,3,2,1,2,2,2,2,2,2,3,2,3,2,2,2,2,1
2632,MET20_1964968,0.6583119793,1,4,2,2,3,3,3,1,1,2,1,3,4,1,2,4,2,1,4,4,1,4,4,4,2,1,1,2,1,2,4,4,3,1,2,2,3,0
2633,MET20_529222,0.837901566,4,4,4,4,2,3,3,4,3,3,4,4,4,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,2,2,1
2634,MET20_575382,0.837901566,2,3,3,3,2,2,2,3,2,3,2,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,0
2635,MET20_1795974,1.0946952712,3,4,3,3,4,1,1,3,1,4,1,4,3,3,3,1,1,1,2,1,1,4,1,1,1,1,2,4,2,1,2,2,2,2,2,2,2,0
2636,MET20_1203566,0.7980860057,1,1,1,2,4,3,2,1,2,2,1,1,2,1,1,3,2,1,2,2,1,3,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,3
2637,MET20_1621279,0.464506602,3,3,3,3,2,3,3,3,1,2,3,3,3,2,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0
2638,MET20_1422314,1.0564869918,2,3,3,3,3,3,2,3,2,3,2,3,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2639,MET20_80005941,1.257884282,1,2,3,3,4,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,1,1,1,3
2640,MET20_1210181,0.4572221819,1,3,3,3,4,2,4,3,2,2,3,3,4,2,3,3,1,2,3,2,2,2,3,4,2,2,2,3,3,3,2,3,3,3,3,2,3,1
2641,MET20_1008866,0.6182996491,2,3,2,2,4,3,3,2,2,2,1,2,2,2,2,3,1,1,2,2,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,1,0
2642,MET20_7009767,1.161725334,3,3,3,3,2,2,1,3,2,3,3,3,3,2,3,2,1,2,2,1,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2643,MET20_727554,1.012416781,2,3,3,3,3,2,3,2,1,3,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2644,MET20_1967599,0.7980860057,2,4,4,3,2,2,3,4,3,2,2,4,4,3,2,4,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3,2,3,3,3,1
2645,MET20_7007732,1.055956908,2,2,3,2,3,3,2,1,2,2,1,2,2,2,2,3,1,2,3,2,1,3,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,3
2646,MET20_147348,0.464506602,4,4,4,3,4,4,4,4,4,3,2,4,4,4,3,4,2,4,2,2,2,2,3,4,3,2,3,3,2,3,3,3,3,2,3,3,3,2
2647,MET20_80001201,1.012416781,1,2,1,2,4,3,4,1,2,2,2,2,1,2,1,1,1,1,3,1,1,4,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,3
2648,MET20_1207963,1.2758879289,1,2,1,2,2,2,3,1,1,2,1,2,2,1,2,2,2,1,3,3,1,4,2,3,2,2,2,1,2,1,1,1,2,1,1,2,2,3
2649,MET20_1250666,1.0946952712,2,2,2,2,3,2,4,2,2,2,2,2,2,1,2,3,2,2,3,2,2,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,0
2650,MET20_1977077,0.961473076,2,4,4,4,4,4,2,2,4,2,2,4,4,4,1,2,2,2,4,2,3,3,4,1,4,2,2,2,4,3,2,2,2,2,4,4,1,1
2651,MET20_109109,1.0946952712,2,3,2,2,3,3,3,3,2,3,2,3,4,2,2,2,2,2,2,2,2,3,2,4,1,2,2,2,2,1,1,2,3,2,2,2,2,0
2652,MET20_1039291,1.055956908,2,3,2,2,3,3,3,3,2,2,2,3,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,0
2653,MET20_1619133,0.9612750925,2,2,2,2,3,2,1,2,2,2,1,2,2,2,2,2,1,1,3,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3
2654,MET20_1185722,0.6791997325,3,3,3,3,3,3,2,3,2,3,2,3,3,2,2,3,2,2,3,2,2,2,2,2,3,2,3,3,2,2,3,3,3,3,2,2,3,1
2655,MET20_7006537,1.0176565692,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,1,2,2,1,3,2,2,2,1,1,1,1,2,1,2,3,0
2656,MET20_7008044,1.2765284167,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,3
2657,MET20_80003124,0.6841663427,2,2,2,3,2,2,2,3,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2658,MET20_463414,0.6791997325,2,3,3,3,3,3,2,3,1,1,1,3,4,2,2,2,1,2,2,2,1,4,2,1,2,1,1,2,2,2,1,2,4,2,2,1,2,0
2659,MET20_796053,1.1178917385,2,2,3,2,4,3,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2660,MET20_7018570,1.1178917385,3,3,4,3,3,2,3,4,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2661,MET20_634783,0.9612750925,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,1
2662,MET20_1211395,1.1614861152,3,3,3,3,3,2,3,4,2,3,3,4,3,2,3,4,1,2,2,2,2,4,2,2,2,2,2,3,2,1,2,1,2,2,2,2,2,1
2663,MET20_532748,0.9643085747,3,1,2,2,2,2,2,2,1,2,2,2,4,2,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2664,MET20_980706,1.0946952712,2,2,3,3,4,2,4,3,2,1,1,4,4,3,2,3,2,1,2,2,2,3,2,4,2,2,2,2,2,2,2,3,2,2,3,2,3,1
2665,MET20_310328,0.7470769429,2,3,3,4,4,2,3,4,3,3,4,4,3,2,2,3,3,2,3,2,1,2,2,3,2,1,2,2,1,1,3,2,3,3,3,3,3,1
2666,MET20_1211403,1.1614861152,3,4,3,4,3,2,4,4,3,3,4,4,4,4,3,3,4,3,1,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2
2667,MET20_564097,0.9059973118,2,3,1,1,2,2,4,3,1,2,3,3,4,3,2,2,1,2,4,2,2,2,3,4,2,3,2,3,2,2,1,3,1,3,2,1,2,0
2668,MET20_7008381,0.6026768254,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,3,3,2,3,3,2,3,3,2,2,1
2669,MET20_7009711,0.7980860057,4,4,4,4,2,2,4,4,2,4,2,4,4,4,3,4,2,2,3,3,2,2,4,4,4,2,3,3,3,2,2,3,3,3,3,2,3,2
2670,MET20_324608,1.012416781,1,1,2,2,4,2,1,1,1,3,1,3,3,1,1,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,2,3,2,2,3,2,0
2671,MET20_1264253,1.0564869918,2,4,4,4,4,2,2,3,2,3,2,3,4,2,2,4,1,1,3,2,1,3,2,4,1,1,1,1,1,1,1,1,3,1,2,1,2,0
2672,MET20_7001674,1.055956908,3,2,4,3,3,3,1,2,2,2,1,3,4,2,3,3,2,2,2,2,1,2,1,1,2,2,1,1,1,2,1,1,3,1,2,1,1,0
2673,MET20_456725,0.9643085747,2,3,2,3,3,2,3,3,2,2,2,3,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,1
2674,MET20_1188627,0.6722919535,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2675,MET20_7005273,0.5345827213,2,3,4,4,2,2,4,2,4,3,2,4,4,2,2,4,1,1,3,1,1,4,2,4,2,1,2,1,1,1,2,2,2,2,2,2,2,1
2676,MET20_1258990,1.0239963436,3,3,2,2,3,3,3,3,3,3,2,4,4,3,2,3,1,1,3,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,4,1,1,0
2677,MET20_1189138,2.8198597454,2,3,3,3,3,3,3,3,3,3,2,3,4,3,3,4,3,1,2,3,2,3,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3,1
2678,MET20_1106264,0.5022567684,2,2,3,3,2,3,1,2,1,3,1,3,2,2,2,1,2,2,3,3,2,3,1,3,3,2,2,3,2,3,3,3,3,2,3,2,3,0
2679,MET20_1127053,0.8247615439,2,3,2,3,2,1,1,1,1,2,1,3,1,1,3,2,1,2,1,1,1,2,2,1,2,1,1,1,1,3,1,1,1,1,1,2,1,3
2680,MET20_578709,0.4572221819,2,3,3,3,2,3,4,2,2,2,2,3,4,3,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,2,2,1
2681,MET20_1193080,0.5345827213,3,3,3,3,2,3,4,3,2,3,3,3,3,2,3,4,3,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2,1
2682,MET20_361917,1.0396114026,2,3,2,3,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,3,3,3,1
2683,MET20_501496,0.9643085747,2,3,2,3,4,2,4,2,2,2,2,2,4,1,1,3,1,2,2,1,1,2,2,4,1,1,2,2,2,1,2,2,2,1,3,2,3,0
2684,MET20_477275,0.9765900354,2,2,2,2,3,2,3,2,1,2,2,3,3,1,2,2,1,1,3,2,1,3,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,0
2685,MET20_616617,0.8394656956,2,2,2,3,4,3,3,3,2,3,2,3,3,2,2,2,2,2,3,2,1,3,3,2,2,2,2,2,2,1,2,2,3,1,2,2,2,0
2686,MET20_1180558,0.7980860057,3,3,3,3,3,2,2,3,2,3,2,3,4,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,3,2,2,2,2,3,1
2687,MET20_460189,0.837901566,3,2,3,3,2,2,2,3,2,2,3,4,4,2,3,4,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2688,MET20_571810,1.012416781,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,3,2,2,1,1,2,3,1,2,1,2,2,1,1,1,1,3
2689,MET20_904490,0.598301777,3,3,4,4,2,2,4,4,1,4,2,3,3,3,3,2,2,2,3,2,2,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,3,1
2690,MET20_781759,0.9463951981,2,4,2,3,3,3,3,2,3,3,2,2,4,1,3,1,1,2,2,3,2,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,0
2691,MET20_1620081,0.8247615439,2,3,3,2,3,3,1,2,2,1,1,3,2,2,2,3,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0
2692,MET20_7007750,1.0396114026,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2
2693,MET20_7010762,1.0076397374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,3,3,3,2
2694,MET20_1611049,0.8206610833,2,2,2,3,3,3,1,2,1,3,2,3,1,1,2,3,2,1,3,1,1,3,1,2,2,1,1,2,2,1,2,3,2,2,1,1,1,3
2695,MET20_563735,0.598301777,4,4,4,4,3,2,2,4,2,2,2,4,4,2,3,4,2,2,3,2,2,2,4,3,3,2,2,4,2,2,2,2,3,2,2,1,3,1
2696,MET20_1827827,0.8967423191,4,4,4,4,3,2,2,4,3,4,3,4,3,4,4,2,2,1,2,3,2,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,2
2697,MET20_7009431,0.9612750925,2,3,3,3,2,2,1,2,2,3,2,3,1,2,3,2,1,2,1,2,1,2,2,1,2,3,1,1,1,3,1,3,2,1,1,1,1,0
2698,MET20_250407,1.055956908,2,3,3,3,3,2,3,2,2,2,2,3,2,2,2,3,1,1,2,2,2,3,2,3,2,2,1,1,1,1,2,2,2,2,3,1,2,0
2699,MET20_41229,1.055956908,2,3,3,3,2,2,2,2,2,1,2,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2700,MET20_620395,0.8422381464,2,2,2,2,3,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,0
2701,MET20_1247852,1.3948718613,2,4,4,4,2,2,3,4,2,4,2,4,4,2,3,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,2,1
2702,MET20_7004880,0.8556566041,2,3,2,3,2,2,3,2,2,2,2,3,3,2,2,4,2,2,2,3,2,4,2,4,2,2,2,2,2,2,2,2,3,2,2,2,2,0
2703,MET20_76687,1.0946952712,2,2,2,2,2,2,2,1,1,2,1,3,3,2,3,1,2,2,2,1,1,2,3,4,2,1,2,2,2,2,2,2,2,2,2,1,2,0
2704,MET20_1205363,1.1239197817,2,3,4,3,4,1,3,3,2,1,1,4,3,1,3,3,2,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,0
2705,MET20_7000745,1.161725334,2,2,3,4,4,2,2,2,3,2,3,3,4,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,3,2,2,1
2706,MET20_743650,0.930184251,1,2,2,2,2,2,3,2,2,1,1,2,3,2,1,2,1,3,2,2,1,3,2,3,3,2,1,2,1,3,1,2,2,1,2,3,3,0
2707,MET20_462533,0.9612750925,2,2,2,2,2,3,2,1,1,2,1,2,4,1,2,2,1,4,2,1,1,4,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,3
2708,MET20_734576,1.1178917385,3,3,4,3,3,2,2,3,3,3,2,4,4,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,3,2,3,3,2,2,1
2709,MET20_7008268,0.9965400009,2,2,3,3,3,2,3,3,2,3,4,3,4,2,2,2,2,1,3,2,2,2,2,3,1,2,2,2,2,2,2,3,2,2,2,2,2,1
2710,MET20_1092232,0.5022567684,2,3,2,3,2,2,1,3,1,2,3,3,3,2,1,3,1,1,3,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3
2711,MET20_1600778,1.1614861152,1,2,2,2,3,2,1,1,1,3,1,2,3,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2712,MET20_786139,0.8556566041,2,2,2,1,3,2,2,2,1,2,1,3,4,1,1,3,1,1,4,1,2,4,2,2,2,2,2,1,1,1,2,2,3,2,2,2,2,0
2713,MET20_1190615,0.6583119793,3,3,4,4,4,4,3,4,2,4,2,4,4,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1
2714,MET20_1268700,3.5210528854,3,3,3,3,3,2,3,2,2,2,2,3,4,2,2,3,2,2,3,3,2,3,2,3,2,1,2,2,2,2,2,2,1,1,2,1,1,0
2715,MET20_1888647,1.6045583854,2,2,2,3,4,2,1,1,3,2,1,3,2,2,2,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3
2716,MET20_1799133,0.8247615439,2,3,3,3,4,1,1,3,1,2,1,3,4,2,2,1,2,2,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2717,MET20_7003907,0.4868106265,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,3,1,1,3,1,2,1,1,1,1,1,1,1,1,3,1,1,3,2,3
2718,MET20_1192876,2.8394560233,3,3,3,3,3,3,2,3,1,3,2,4,4,3,3,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,3,3,2,3,2,2,1
2719,MET20_1607773,1.055956908,2,2,4,4,3,1,1,2,2,3,2,3,4,1,2,2,2,2,4,2,1,4,2,1,1,1,1,1,1,2,1,1,4,2,2,1,1,0
2720,MET20_1311202,0.7631943152,2,4,4,3,3,3,3,2,2,2,1,2,4,2,2,4,2,2,3,3,2,3,3,4,3,3,2,3,2,2,3,3,3,3,3,2,3,1
2721,MET20_7006856,1.0396114026,3,4,4,4,4,2,4,4,4,3,4,4,4,4,4,3,3,1,2,2,2,3,2,3,2,2,4,3,4,3,4,4,4,3,4,3,3,2
2722,MET20_768292,0.8206610833,3,3,3,4,2,2,2,4,1,3,3,4,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1
2723,MET20_1423080,1.055956908,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,0
2724,MET20_1425804,1.012416781,1,2,2,1,3,2,2,1,1,1,1,1,2,2,1,1,1,1,4,2,1,4,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2,3
2725,MET20_1861693,0.8528399828,1,2,3,2,3,2,1,1,1,2,1,1,4,1,2,1,2,1,2,2,1,3,2,1,3,2,1,1,1,1,2,1,2,1,1,2,1,3
2726,MET20_7001259,0.5345827213,2,3,2,2,4,3,4,3,3,3,4,3,4,1,2,4,2,1,1,3,1,2,1,4,1,1,2,1,2,1,3,3,4,4,4,4,4,1
2727,MET20_937517,0.9612750925,2,1,2,1,4,2,1,1,2,1,1,3,2,1,2,2,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2728,MET20_7002041,0.9643085747,4,4,4,4,2,3,4,3,4,3,2,3,2,4,4,4,2,2,3,4,2,3,2,4,2,3,2,2,2,2,3,4,4,4,4,3,4,2
2729,MET20_1196869,0.9965400009,2,3,3,3,3,2,4,3,2,3,2,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,1,1,2,2,2,2,2,3,2,2,3,1
2730,MET20_7001520,0.8394656956,3,4,4,4,2,2,1,3,2,3,1,4,4,3,4,4,1,2,1,2,1,3,2,2,4,4,3,4,4,4,4,4,4,3,4,4,4,2
2731,MET20_1039168,0.6182996491,2,3,2,2,3,3,3,2,2,2,1,2,2,2,2,3,2,2,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2732,MET20_1203277,0.930184251,2,4,4,3,2,2,4,2,2,4,2,4,4,2,2,2,2,2,2,2,2,3,2,3,1,2,2,2,1,2,2,2,2,2,2,2,3,1
2733,MET20_131765,0.598301777,2,3,3,3,2,2,2,2,1,2,2,3,2,1,2,2,1,2,2,1,1,2,2,3,1,2,1,2,1,1,3,1,3,2,2,1,2,0
2734,MET20_843666,0.598301777,2,3,4,4,2,2,4,3,2,2,2,3,3,2,2,4,2,2,3,2,2,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,1
2735,MET20_7013152,0.7631943152,2,3,3,3,3,2,3,2,3,2,3,3,3,3,2,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,3,3,1
2736,MET20_803017,0.7980860057,2,1,2,2,3,1,3,2,1,2,1,2,1,1,1,3,1,1,3,2,1,4,1,3,1,1,1,2,2,2,2,2,2,2,3,2,3,3
2737,MET20_785098,0.6791997325,4,4,4,4,1,4,3,4,4,3,3,4,4,4,4,4,4,4,1,4,4,2,4,3,4,3,4,2,3,2,3,4,4,4,4,2,3,2
2738,MET20_80000538,0.8247615439,2,2,1,2,3,2,1,1,2,2,1,2,4,1,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2739,MET20_7001119,1.2765284167,4,4,4,4,2,2,3,4,2,4,2,4,4,4,4,4,2,2,2,4,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2740,MET20_592676,0.930184251,2,2,2,2,3,3,2,2,2,2,1,3,2,1,1,4,1,1,3,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,3
2741,MET20_1014161,0.9306511977,2,3,3,3,4,3,3,2,2,2,2,3,3,1,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2742,MET20_1089395,0.5022567684,2,3,3,3,4,3,4,3,2,3,2,3,3,3,2,4,2,2,3,2,2,3,4,4,2,2,3,3,3,2,3,3,3,2,4,2,3,1
2743,MET20_1198808,0.8247615439,2,3,3,3,3,3,4,3,4,4,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2,1
2744,MET20_1096564,0.9612750925,3,4,4,4,4,2,1,2,1,1,1,3,4,2,2,2,2,2,2,3,2,3,3,1,2,3,2,2,2,1,2,3,2,2,2,1,2,0
2745,MET20_7009398,0.598301777,2,2,1,2,4,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2746,MET20_1964158,0.7058317983,2,3,3,3,4,2,2,2,3,3,1,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2747,MET20_484444,1.012416781,1,3,2,2,2,3,1,1,1,2,1,3,2,1,3,1,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
2748,MET20_662271,3.7489125178,1,2,3,3,3,2,4,2,2,3,1,3,2,1,3,2,1,1,1,3,1,3,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,3
2749,MET20_1247043,0.9617576466,2,2,2,1,2,3,1,2,1,2,1,1,2,2,2,1,1,1,4,1,1,4,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,3
2750,MET20_1198162,0.9770802775,2,3,2,2,3,2,1,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,0
